Year,Month,Tsunami Event Validity,Tsunami Cause Code,Deposits,Country,Location Name,Number of Runups,Earthquake Magnitude,Latitude,Longitude,Maximum Water Height (m),Tsunami Intensity,Total Damage Description,After 1900,Effects of Tsunami,Timeline,Tsunami Cause Code,Factor4,Location
1899,9,4,3,0,INDONES,BANDA SEA,10,7.8,-3,128.5,12,3,3,0,0.060131326,-0.974411589,0.574512573,0.583052264,-0.326514334
1899,11,4,1,0,JAPAN,SEIKAIDO,1,7.1,31.9,132,0.3,-1,1,0,-1.119122576,-0.156457612,-0.245034963,0.735128128,0.74759475
1901,3,3,1,0,BULGARI,BLACK SEA,1,7.2,43.4,28.5,3,4,3,1,0.233809429,-0.115575797,0.177102892,-2.030733543,0.037904405
1901,6,4,1,0,JAPAN,RYUKYU ISLANDS,4,7.5,28,130.3,0.25,-1.5,1,1,-0.760002004,0.951368941,-0.601824755,0.177467912,0.918483364
1901,8,4,1,0,JAPAN,OFF NORTHEAST COAST HONSHU,3,7.2,40.5,142.5,0.6,-0.5,2,1,-0.618652568,0.718804708,-0.327885053,0.387189069,1.139620889
1901,8,4,1,0,JAPAN,OFF NORTHEAST COAST HONSHU,2,7.4,40.6,142.3,0.25,-1,2,1,-0.607783333,0.767704858,-0.440263597,0.450069332,1.108453536
1905,9,4,1,0,ITALY,TYRRHENIAN CALABRIA,0,7.1,38.67,16.07,1.3,4,4,1,0.190080723,-0.037267296,0.227815688,0.553363502,0.149421462
1906,1,4,1,0,ECUADOR,OFF COAST,58,8.5,0.988,-79.347,5,3,3,1,0.892131145,0.283446692,-0.634696416,-0.237713814,-0.959230221
1906,8,3,1,0,CHILE,CENTRAL CHILE,35,8.2,-33,-72,3.5,2,4,1,0.49274194,-0.094976198,-0.683495354,-1.031023413,-2.593219224
1906,9,4,1,0,PAPUA N,SOLOMON SEA,7,8,-7,149,1.5,1.5,3,1,0.081482247,0.200440058,-0.937506434,0.792062042,-0.201165817
1906,10,3,1,0,PAPUA N,BISMARCK SEA,2,7.2,-4,149,1.2,1.5,1,1,-0.766288425,0.167525188,-0.347650331,-0.969595069,-0.581978348
1907,1,4,1,0,INDONES,NW. SUMATRA,88,8.2,2.681,95.53,15,2,3,1,0.863423502,0.403174433,-0.870752217,-0.368614453,0.134775875
1907,9,3,3,0,USA,"SKAGWAY, AK",1,5.5,59.5,-135.5,0.7,0,1,1,-1.646889899,0.818477171,2.499128222,-1.779765399,-0.235497509
1908,12,4,3,5,ITALY,"MESSINA STRAIT, IONIAN SEA",87,7,38.17,15.58,13,5,4,1,0.985355996,-0.089268363,2.010731983,0.837951719,0.019966965
1912,6,3,1,0,JAPAN,SANRIKU,1,6.6,40.5,142,0.5,0,1,1,-0.956364463,0.60725909,0.021268959,-1.816983785,0.777032736
1913,2,3,1,0,NEW ZEA,TASMAN SEA,4,6.8,-41.8,171.5,1.5,0.5,1,1,-0.590298407,0.512017621,-0.980513044,-2.484042855,-0.611569599
1914,1,4,4,2,JAPAN,SEIKAIDO,1,7.1,31.58,130.67,3,-1,3,1,-0.023853296,0.922905626,1.139220433,-1.019950294,1.328157502
1914,5,4,1,0,INDONES,NW. IRIAN JAYA,5,8.1,-1.829,136.943,0.1,2,2,1,0.101695608,0.318263446,-0.946427458,0.237052613,0.054510182
1915,11,4,1,0,JAPAN,SANRIKU,3,7.8,38.3,142.9,1,0.5,1,1,-0.694548072,0.557188169,-0.28914649,1.151706824,0.7185031
1916,7,4,1,0,ITALY,STROMBOLI ISLAND,3,5.1,38.817,15.233,10,4,1,1,-1.067582595,0.518595962,1.193909163,-0.370934179,0.849360073
1917,6,4,1,1,SAMOA,SAMOA ISLANDS,17,8.3,-15.5,-173,12.2,3,2,1,0.321657325,0.309383812,-0.113939906,0.54668094,-2.052286986
1918,8,4,1,0,PHILIPP,CELEBES SEA,10,8.3,5.5,123,7.2,2.5,3,1,0.33528056,0.102987896,-0.755822767,0.804226764,-0.158575469
1918,9,4,1,0,RUSSIA,S. KURIL ISLANDS,22,8.2,45.5,151.5,12,3,2,1,0.106682893,0.133539112,-0.202737776,1.039708131,0.788315164
1918,12,4,1,0,CHILE,NORTHERN CHILE,4,7.8,-26,-71,5,2.5,3,1,-0.085615229,0.144772523,-0.301698776,1.242650046,-1.966087675
1920,8,3,1,0,CHILE,CENTRAL CHILE,1,7,-38,-73.5,1.4,1,2,1,-0.603154681,0.35674212,-0.261971266,-1.429932265,-2.316234494
1922,11,4,1,0,CHILE,NORTHERN CHILE,36,8.7,-28.553,-70.755,9,2.5,3,1,0.380686876,0.103890732,-0.624017188,1.417688338,-2.196327325
1923,4,4,1,1,RUSSIA,KAMCHATKA,11,7.2,56.5,162.5,20,3.5,3,1,0.396672596,0.22006086,0.145545657,-0.139234301,1.611430031
1923,9,4,1,1,JAPAN,SAGAMI BAY,140,7.9,35.1,139.5,13,3,4,1,1.038307176,0.15906931,-0.225652437,0.777103655,0.612249063
1925,2,3,3,0,USA,"GULF OF ALASKA, AK",1,6,60,-146,1.4,1,1,1,-1.050470174,0.82647274,2.180836251,-2.696836995,-0.042540704
1926,9,4,1,0,SOLOMON,SOLOMON ISLANDS,3,6.9,-9.674,159.519,2,1.5,2,1,-0.526806699,0.458331382,-0.516001762,0.412846915,0.103425667
1927,3,4,3,0,JAPAN,SW. HONSHU ISLAND,17,7.6,35.6,135.1,11.3,0.5,4,1,0.300884716,0.554615948,0.533797631,-0.399658899,1.054264331
1927,6,4,1,0,UKRAINE,"CRIMEA, BLACK SEA",0,6,44.4,34.4,0.7,2,2,1,-0.707528862,0.674808697,0.506406173,-0.311672075,0.963019205
1927,9,4,1,0,UKRAINE,"CRIMEA, BLACK SEA",1,6.8,44.4,34.5,1,2,4,1,-0.104500729,0.353196521,0.188072766,0.394546264,0.525044854
1927,11,4,1,0,USA,S. CALIFORNIA,8,7.3,34.813,-120.774,1.8,1,2,1,-0.627529019,0.642446748,0.442256693,0.969793019,-0.683429748
1927,12,3,1,0,INDONES,SULAWESI,2,6.3,-0.7,119.7,15,3,3,1,-0.518914508,-0.077331189,0.274002982,-0.970382802,-0.68831739
1928,4,3,1,0,GREECE,CORINTHOS-PATRAS GULF,7,6,38,23,0.6,3,4,1,-0.050828559,0.155385469,0.422672572,-2.403990512,0.175231523
1928,6,4,1,0,MEXICO,S. MEXICO,10,7.7,16.028,-97.036,0.2,1,2,1,-0.238513861,0.680653049,-0.132461581,0.278990802,-0.746609552
1928,12,3,1,0,CHILE,CENTRAL CHILE,2,7.6,-35,-72,1.5,0.5,3,1,-0.402703931,0.217398948,-0.412556334,-0.608891519,-2.654028373
1929,5,3,1,0,CANADA,BRITISH COLUMBIA,3,7,51,-131,1.5,0,1,1,-0.853653644,0.792675103,0.589439579,-1.775088429,-0.528676302
1930,8,3,3,0,USA,S. CALIFORNIA,3,5.2,34.03,-118.643,3.05,-0.5,1,1,-1.719709312,0.986246147,2.284041629,-2.096680271,-0.527009061
1930,12,4,1,0,PAPUA N,BISMARCK SEA,29,6.5,-1.3,144.3,12,1.5,2,1,-0.702055469,0.491686461,-0.024792151,0.787669777,0.1117434
1931,2,4,3,2,NEW ZEA,N. NEW ZEALAND,5,7.7,-39.772,176.025,15,0,4,1,0.593435976,0.564677656,-0.235016214,-0.657556099,-0.212501749
1931,10,4,1,0,SOLOMON,SAN CRISTOBAL ISLAND,13,7.8,-10.932,161.016,9,2.5,3,1,0.109882542,0.123659832,-0.722822745,0.915191806,-0.29247161
1932,6,4,1,1,MEXICO,CENTRAL MEXICO,19,8.1,19.623,-103.919,10,2,3,1,0.401641572,0.44106839,-0.053975066,0.433496057,-0.874254182
1932,6,4,1,0,MEXICO,CENTRAL MEXICO,2,7.8,19.081,-103.631,1,0.5,2,1,-0.287280375,0.751202022,-0.154914893,0.315497045,-0.730432601
1932,6,4,1,1,MEXICO,CENTRAL MEXICO,6,7.7,19.242,-104.383,10,1.5,3,1,0.171788022,0.54675737,0.042200659,0.277088218,-0.760092102
1933,3,4,1,2,JAPAN,SANRIKU,294,8.4,39.224,144.622,29,3.5,4,1,2.238849101,0.363330725,-0.279608283,-0.00379766,0.984558758
1936,4,4,1,0,INDONES,SULAWESI,2,7.7,4.5,126.5,3,2,2,1,0.005973574,0.460001909,-0.722902569,-0.056469389,0.281830493
1936,7,4,1,0,CHILE,NORTHERN CHILE,3,7.3,-24.5,-70,1,0.5,2,1,-0.464363134,0.742724331,-0.424616643,0.226466661,-1.38551664
1938,2,4,1,0,INDONES,BANDA SEA,5,8.5,-5.041,131.579,1,1.5,2,1,0.327923376,0.481598576,-1.241101434,-0.112825691,0.041682386
1938,6,4,1,0,JAPAN,RYUKYU ISLANDS,1,7.6,25.321,125.115,1.5,0,1,1,-0.579092475,0.827567833,-0.514143686,0.243539971,0.72017807
1938,11,4,1,0,JAPAN,SANRIKU,17,7.7,37.1,141.7,0.57,-0.5,1,1,-0.776852669,0.79953755,-0.338504037,1.078314786,0.751662902
1939,3,4,1,0,JAPAN,SEIKAIDO,4,6.6,32.3,132,0.8,0,1,1,-0.75925864,1.020219548,-0.231603879,-0.61022994,1.358111098
1939,4,3,1,0,SOLOMON,SOLOMON ISLANDS,8,7.9,-9.295,159.234,10.5,1.5,2,1,0.028345165,0.225974801,-0.849449829,-1.694363648,-0.509821637
1939,5,4,1,0,JAPAN,NW. HONSHU ISLAND,25,7,40.1,139.5,1.2,0,2,1,-0.4086971,0.874222597,-0.30866818,-0.174428393,1.318820193
1939,5,4,1,0,PORTUGA,AZORES,2,6.7,37.198,-24.356,0.2,1,2,1,-0.537519307,0.824396656,0.210463124,-0.239119329,0.407750832
1939,12,4,1,0,TURKEY,SOUTH BLACK SEA,11,7.8,39.907,39.586,0.53,4,3,1,0.090895508,-0.000935041,0.123509791,1.320757326,-0.063559967
1940,8,4,1,1,JAPAN,W. HOKKAIDO ISLAND,62,7.5,44.2,139.5,5,1.5,2,1,0.03080438,0.587045417,-0.115012931,0.516756415,1.048967283
